	T[K]	N7a	N7b	N7c
600 0.99526 0.00001 0.00472
700 0.98682 0.00008 0.01229
800 0.97165 0.00033 0.02591
900 0.94989 0.00099 0.04716
1000 0.91749 0.00242 0.07668
1100 0.87754 0.00504 0.11448
1200 0.82779 0.00921 0.15906
1300 0.77165 0.01524 0.20862
1400 0.71299 0.02328 0.26145
1500 0.65024 0.03314 0.31387
1600 0.58768 0.04462 0.36424
1700 0.52837 0.05747 0.41175
1800 0.47183 0.07107 0.45398
1900 0.42057 0.08518 0.49164
2000 0.37430 0.09929 0.52388
