Batch	m_SP	13	P5	W1	W2	W3	W4	W5	W6	R	P1	P2	P3	P4	P6																							
7.210713e-11	1.6954390454400001e-06	0.1	7.210713e-11	4.427469e-07	0.1	7.210713e-11	4.036723e-13	0.1	7.210713e-11	1.196382e-13	0.1	7.210713e-11	3.001906e-06	0.1	7.210713e-11	4.859227e-06	0.1	7.210713e-11	4.857738e-10	0.1	7.210713e-11	2.275367e-11	0.1	7.210713e-11	1.645139e-10	0.1	7.210713e-11	6.82467e-11	0.1	7.210713e-11	5.639377e-12	0.1	7.210713e-11	1.363855e-19	0.1	7.210713e-11	2.640856e-21	0.1
8.334009e-11	1.2859351405200001e-06	0.1	8.334009e-11	4.645799e-07	0.1	8.334009e-11	4.23578e-13	0.1	8.334009e-11	1.255614e-13	0.1	8.334009e-11	3.149938e-06	0.1	8.334009e-11	5.098848e-06	0.1	8.334009e-11	5.156724e-10	0.1	8.334009e-11	2.387568e-11	0.1	8.334009e-11	1.729215e-10	0.1	8.334009e-11	5.537035e-11	0.1	8.334009e-11	4.612621e-12	0.1	8.334009e-11	1.431109e-19	0.1	8.334009e-11	2.454718e-21	0.1
9.457304e-11	9.753407464950001e-07	0.1	9.457304e-11	4.811396e-07	0.1	9.457304e-11	4.386758e-13	0.1	9.457304e-11	1.300559e-13	0.1	9.457304e-11	3.262216e-06	0.1	9.457304e-11	5.280593e-06	0.1	9.457304e-11	5.388492e-10	0.1	9.457304e-11	2.472669e-11	0.1	9.457304e-11	1.793233e-10	0.1	9.457304e-11	4.423863e-11	0.1	9.457304e-11	3.712698e-12	0.1	9.457304e-11	1.482119e-19	0.1	9.457304e-11	2.242234e-21	0.1
1.05806e-10	7.3976460228e-07	0.1	1.05806e-10	4.936996e-07	0.1	1.05806e-10	4.50127e-13	0.1	1.05806e-10	1.334662e-13	0.1	1.05806e-10	3.347375e-06	0.1	1.05806e-10	5.418441e-06	0.1	1.05806e-10	5.567387e-10	0.1	1.05806e-10	2.537216e-11	0.1	1.05806e-10	1.841943e-10	0.1	1.05806e-10	3.494698e-11	0.1	1.05806e-10	2.952751e-12	0.1	1.05806e-10	1.520808e-19	0.1	1.05806e-10	2.021023e-21	0.1
1.170389e-10	5.61087589068e-07	0.1	1.170389e-10	5.032259e-07	0.1	1.170389e-10	4.588124e-13	0.1	1.170389e-10	1.360535e-13	0.1	1.170389e-10	3.411966e-06	0.1	1.170389e-10	5.522994e-06	0.1	1.170389e-10	5.705004e-10	0.1	1.170389e-10	2.586172e-11	0.1	1.170389e-10	1.878983e-10	0.1	1.170389e-10	2.737216e-11	0.1	1.170389e-10	2.326932e-12	0.1	1.170389e-10	1.550153e-19	0.1	1.170389e-10	1.802671e-21	0.1
1.287367e-10	4.20726192696e-07	0.1	1.287367e-10	5.107094e-07	0.1	1.287367e-10	4.656352e-13	0.1	1.287367e-10	1.380864e-13	0.1	1.287367e-10	3.462707e-06	0.1	1.287367e-10	5.605127e-06	0.1	1.287367e-10	5.814373e-10	0.1	1.287367e-10	2.624631e-11	0.1	1.287367e-10	1.908144e-10	0.1	1.287367e-10	2.107667e-11	0.1	1.287367e-10	1.802076e-12	0.1	1.287367e-10	1.573205e-19	0.1	1.287367e-10	1.586145e-21	0.1
1.422938e-10	3.01366686303e-07	0.1	1.422938e-10	5.170732e-07	0.1	1.422938e-10	4.714372e-13	0.1	1.422938e-10	1.398156e-13	0.1	1.422938e-10	3.505855e-06	0.1	1.422938e-10	5.674971e-06	0.1	1.422938e-10	5.908326e-10	0.1	1.422938e-10	2.657334e-11	0.1	1.422938e-10	1.932988e-10	0.1	1.422938e-10	1.546374e-11	0.1	1.422938e-10	1.330022e-12	0.1	1.422938e-10	1.592808e-19	0.1	1.422938e-10	1.355104e-21	0.1
1.558509e-10	2.1586934128500002e-07	0.1	1.558509e-10	5.216315e-07	0.1	1.558509e-10	4.755932e-13	0.1	1.558509e-10	1.410545e-13	0.1	1.558509e-10	3.536762e-06	0.1	1.558509e-10	5.725e-06	0.1	1.558509e-10	5.976211e-10	0.1	1.558509e-10	2.68076e-11	0.1	1.558509e-10	1.950813e-10	0.1	1.558509e-10	1.128312e-11	0.1	1.558509e-10	9.755109e-13	0.1	1.558509e-10	1.606849e-19	0.1	1.558509e-10	1.148608e-21	0.1
1.69408e-10	1.5462745371e-07	0.1	1.69408e-10	5.248967e-07	0.1	1.69408e-10	4.785701e-13	0.1	1.69408e-10	1.41942e-13	0.1	1.69408e-10	3.558901e-06	0.1	1.69408e-10	5.760837e-06	0.1	1.69408e-10	6.025167e-10	0.1	1.69408e-10	2.69754e-11	0.1	1.69408e-10	1.963597e-10	0.1	1.69408e-10	8.198385e-12	0.1	1.69408e-10	7.120399e-13	0.1	1.69408e-10	1.616907e-19	0.1	1.69408e-10	9.673727e-22	0.1
1.851417e-10	1.0498255016400001e-07	0.1	1.851417e-10	5.275434e-07	0.1	1.851417e-10	4.809833e-13	0.1	1.851417e-10	1.426615e-13	0.1	1.851417e-10	3.576848e-06	0.1	1.851417e-10	5.789887e-06	0.1	1.851417e-10	6.065075e-10	0.1	1.851417e-10	2.711143e-11	0.1	1.851417e-10	1.973972e-10	0.1	1.851417e-10	5.636924e-12	0.1	1.851417e-10	4.917999e-13	0.1	1.851417e-10	1.625061e-19	0.1	1.851417e-10	7.874316e-22	0.1
