Batch	m_SP	5	N1a_L	C5H5	T1a_L	T4a_L	N7a_L							
1.53156e-11	9.735774420617198e-06	0.1	1.53156e-11	8.453825e-08	0.1	1.53156e-11	2.21714309e-07	0.1	1.53156e-11	3.128360453e-12	0.1	1.53156e-11	4.9999015999999996e-18	0.1
3.277506e-11	9.443283796180438e-06	0.1	3.277506e-11	1.78187e-07	0.1	3.277506e-11	4.6733353199999994e-07	0.1	3.277506e-11	6.597203744e-12	0.1	3.277506e-11	2.2667008e-17	0.1
7.320585e-11	8.799260371349977e-06	0.1	7.320585e-11	3.843747e-07	0.1	7.320585e-11	1.00816071e-06	0.1	7.320585e-11	1.424810349e-11	0.1	7.320585e-11	1.10492278e-16	0.1
1.459813e-10	7.748689153516506e-06	0.1	1.459813e-10	7.206762e-07	0.1	1.459813e-10	1.89041285e-06	0.1	1.459813e-10	2.6773305540000002e-11	0.1	1.459813e-10	4.2170912e-16	0.1
2.372583e-10	6.606530003358481e-06	0.1	2.372583e-10	1.086227e-06	0.1	2.372583e-10	2.84961618e-06	0.1	2.372583e-10	4.047008e-11	0.1	2.372583e-10	1.05935608e-15	0.1
3.35479e-10	5.564821335813829e-06	0.1	3.35479e-10	1.419555e-06	0.1	3.35479e-10	3.7244944e-06	0.1	3.35479e-10	5.306041186e-11	0.1	3.35479e-10	2.0095406e-15	0.1
4.496405e-10	4.5586456923137275e-06	0.1	4.496405e-10	1.741435e-06	0.1	4.496405e-10	4.5695703599999995e-06	0.1	4.496405e-10	6.534808918e-11	0.1	4.496405e-10	3.4023382000000003e-15	0.1
5.744294e-10	3.6657214382331797e-06	0.1	5.744294e-10	2.027009e-06	0.1	5.744294e-10	5.319566650000001e-06	0.1	5.744294e-10	7.640727298e-11	0.1	5.744294e-10	5.2165203e-15	0.1
6.992182e-10	2.9477116219723975e-06	0.1	6.992182e-10	2.256578e-06	0.1	6.992182e-10	5.9226791e-06	0.1	6.992182e-10	8.54612908e-11	0.1	6.992182e-10	7.2773916e-15	0.1
8.24007e-10	2.3703484275479837e-06	0.1	8.24007e-10	2.441126e-06	0.1	8.24007e-10	6.407676799999999e-06	0.1	8.24007e-10	9.29031388e-11	0.1	8.24007e-10	9.5367027e-15	0.1
9.538681e-10	1.889266937757066e-06	0.1	9.538681e-10	2.594857e-06	0.1	9.538681e-10	6.8118173e-06	0.1	9.538681e-10	9.92751126e-11	0.1	9.538681e-10	1.20568868e-14	0.1
1.104018e-09	1.4533988845982567e-06	0.1	1.104018e-09	2.734097e-06	0.1	1.104018e-09	7.1779972000000006e-06	0.1	1.104018e-09	1.052632663e-10	0.1	1.104018e-09	1.51408546e-14	0.1
1.254169e-09	1.118095055253764e-06	0.1	1.254169e-09	2.841178e-06	0.1	1.254169e-09	7.459708199999999e-06	0.1	1.254169e-09	1.1009934390000001e-10	0.1	1.254169e-09	1.8367006e-14	0.1
1.404319e-09	8.60152056333175e-07	0.1	1.404319e-09	2.923526e-06	0.1	1.404319e-09	7.6764379e-06	0.1	1.404319e-09	1.140493519e-10	0.1	1.404319e-09	2.1702671000000003e-14	0.1
1.554469e-09	6.617201747103571e-07	0.1	1.554469e-09	2.986857e-06	0.1	1.554469e-09	7.8431738e-06	0.1	1.554469e-09	1.1731793920000001e-10	0.1	1.554469e-09	2.5122696999999998e-14	0.1
1.729239e-09	4.876420104713575e-07	0.1	1.729239e-09	3.042396e-06	0.1	1.729239e-09	7.989454e-06	0.1	1.729239e-09	1.2047125800000001e-10	0.1	1.729239e-09	2.9184307e-14	0.1
1.910163e-09	3.555189491782505e-07	0.1	1.910163e-09	3.084534e-06	0.1	1.910163e-09	8.1004903e-06	0.1	1.910163e-09	1.231854382e-10	0.1	1.910163e-09	3.3457456e-14	0.1
2.091087e-09	2.591957682504728e-07	0.1	2.091087e-09	3.115244e-06	0.1	2.091087e-09	8.1814441e-06	0.1	2.091087e-09	1.254902528e-10	0.1	2.091087e-09	3.778181399999999e-14	0.1
2.279307e-09	1.8657927090069624e-07	0.1	2.279307e-09	3.138388e-06	0.1	2.279307e-09	8.2424769e-06	0.1	2.279307e-09	1.2757273640000002e-10	0.1	2.279307e-09	4.2320209e-14	0.1
2.496708e-09	1.2763485372760889e-07	0.1	2.496708e-09	3.157166e-06	0.1	2.496708e-09	8.292023599999999e-06	0.1	2.496708e-09	1.2969350920000002e-10	0.1	2.496708e-09	4.7598335e-14	0.1
