t[s](1)             T0[K](2)            P0[Pa](3)           V0[m3](4)           T[K](5)             P[Pa](6)            V[m3](7)            rho[kg/m3](8)       MW[kg/kmol](9)      W1_x(10)        W2_x(11)        W3_x(12)        W4_x(13)        W5_x(14)        W6_x(15)        R_x(16)         P1_x(17)        P2_x(18)        P3_x(19)        P4_x(20)        P5_x(21)        P6_x(22)        H_x(23)         W1_w(24)        W2_w(25)        W3_w(26)        W4_w(27)        W5_w(28)        W6_w(29)        R_w(30)         P1_w(31)        P2_w(32)        P3_w(33)        P4_w(34)        P5_w(35)        P6_w(36)        H_w(37)         
3.308356e-10        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013244e+05        1.000000e-06        1.536731e-02        1.008807e+00        2.556402e-07    6.725696e-12    6.598196e-11    2.333275e-06    3.665664e-06    1.319639e-09    4.111919e-09    2.585090e-08    2.932531e-08    3.683955e-06    2.291837e-14    8.478841e-10    3.928360e-17    9.999900e-01    2.080534e-05    5.473723e-10    5.369956e-09    1.898941e-04    2.983309e-04    1.073991e-07    3.305408e-07    2.078051e-06    2.357345e-06    2.961385e-04    1.842317e-12    6.815803e-08    3.157853e-15    9.991899e-01    
4.028195e-10        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013243e+05        1.000000e-06        1.536731e-02        1.008808e+00        2.847598e-07    7.491809e-12    7.349785e-11    2.599054e-06    4.083214e-06    1.469957e-09    4.580301e-09    2.879553e-08    3.266571e-08    2.964505e-06    2.552896e-14    9.444651e-10    4.115523e-17    9.999900e-01    2.317522e-05    6.097221e-10    5.981635e-09    2.115245e-04    3.323130e-04    1.196327e-07    3.681919e-07    2.314757e-06    2.625865e-06    2.383046e-04    2.052170e-12    7.592174e-08    3.308303e-15    9.991891e-01    
4.748033e-10        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013242e+05        1.000000e-06        1.536731e-02        1.008808e+00        3.081925e-07    8.108305e-12    7.954594e-11    2.812929e-06    4.419219e-06    1.590919e-09    4.957211e-09    3.116510e-08    3.535375e-08    2.385558e-06    2.762973e-14    1.022185e-09    4.178934e-17    9.999900e-01    2.508228e-05    6.598954e-10    6.473856e-09    2.289306e-04    3.596587e-04    1.294771e-07    3.984900e-07    2.505235e-06    2.841944e-06    1.917653e-04    2.221041e-12    8.216925e-08    3.359275e-15    9.991886e-01    
5.497491e-10        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013242e+05        1.000000e-06        1.536731e-02        1.008809e+00        3.277405e-07    8.622598e-12    8.459138e-11    2.991347e-06    4.699521e-06    1.691828e-09    5.271637e-09    3.314184e-08    3.759617e-08    1.902589e-06    2.938223e-14    1.087020e-09    4.147995e-17    9.999900e-01    2.667319e-05    7.017509e-10    6.884477e-09    2.434510e-04    3.824709e-04    1.376895e-07    4.237652e-07    2.664136e-06    3.022201e-06    1.529413e-04    2.361916e-12    8.738104e-08    3.334402e-15    9.991881e-01    
6.365428e-10        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013241e+05        1.000000e-06        1.536731e-02        1.008809e+00        3.454885e-07    9.089533e-12    8.917222e-11    3.153336e-06    4.954012e-06    1.783444e-09    5.557109e-09    3.493656e-08    3.963210e-08    1.464094e-06    3.097335e-14    1.145885e-09    4.024790e-17    9.999900e-01    2.811760e-05    7.397521e-10    7.257285e-09    2.566344e-04    4.031825e-04    1.451457e-07    4.467129e-07    2.808405e-06    3.185860e-06    1.176924e-04    2.489819e-12    9.211290e-08    3.235362e-15    9.991876e-01    
7.233365e-10        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013241e+05        1.000000e-06        1.536731e-02        1.008810e+00        3.591460e-07    9.448853e-12    9.269730e-11    3.277991e-06    5.149850e-06    1.853946e-09    5.776788e-09    3.631764e-08    4.119880e-08    1.126660e-06    3.219776e-14    1.191183e-09    3.839117e-17    9.999900e-01    2.922911e-05    7.689950e-10    7.544171e-09    2.667794e-04    4.191206e-04    1.508834e-07    4.643718e-07    2.919423e-06    3.311799e-06    9.056751e-05    2.588243e-12    9.575419e-08    3.086105e-15    9.991873e-01    
8.101301e-10        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013241e+05        1.000000e-06        1.536731e-02        1.008810e+00        3.696559e-07    9.725358e-12    9.540994e-11    3.373917e-06    5.300552e-06    1.908199e-09    5.945837e-09    3.738042e-08    4.240442e-08    8.669957e-07    3.313998e-14    1.226041e-09    3.615285e-17    9.999900e-01    3.008444e-05    7.914982e-10    7.764938e-09    2.745862e-04    4.313854e-04    1.552987e-07    4.779608e-07    3.004855e-06    3.408713e-06    6.969414e-05    2.663983e-12    9.855627e-08    2.906176e-15    9.991871e-01    
8.969238e-10        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013241e+05        1.000000e-06        1.536731e-02        1.008810e+00        3.777435e-07    9.938137e-12    9.749739e-11    3.447734e-06    5.416522e-06    1.949948e-09    6.075924e-09    3.819825e-08    4.333217e-08    6.671767e-07    3.386504e-14    1.252865e-09    3.370923e-17    9.999900e-01    3.074265e-05    8.088151e-10    7.934823e-09    2.805937e-04    4.408235e-04    1.586965e-07    4.884179e-07    3.070596e-06    3.483291e-06    5.363153e-05    2.722268e-12    1.007125e-07    2.709743e-15    9.991869e-01    
9.979487e-10        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008810e+00        3.848409e-07    1.012486e-11    9.932926e-11    3.512513e-06    5.518292e-06    1.986585e-09    6.190084e-09    3.891595e-08    4.414634e-08    4.918237e-07    3.450132e-14    1.276405e-09    3.077159e-17    9.999900e-01    3.132026e-05    8.240116e-10    8.083908e-09    2.858657e-04    4.491060e-04    1.616782e-07    4.975947e-07    3.128289e-06    3.548737e-06    3.953562e-05    2.773415e-12    1.026048e-07    2.473598e-15    9.991867e-01    
1.102531e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        3.902296e-07    1.026664e-11    1.007201e-10    3.561697e-06    5.595562e-06    2.014402e-09    6.276760e-09    3.946087e-08    4.476449e-08    3.586858e-07    3.498443e-14    1.294278e-09    2.776007e-17    9.999900e-01    3.175882e-05    8.355496e-10    8.197102e-09    2.898685e-04    4.553945e-04    1.639420e-07    5.045622e-07    3.172092e-06    3.598428e-06    2.883323e-05    2.812250e-12    1.040415e-07    2.231514e-15    9.991865e-01    
